Date extracted,Rank,Title,Channel,Time posted,Views,Description,Video URL,Channel URL,Thumbnail URL
28/Dec/2021,1,DOY 300€ AL QUE MÁS ME HAGA REÍR | SI TE RÍES PIERDES 11,Ibai,1 day ago,2.6M views,Extraído de mi canal de TWITCH: https://www.twitch.tv/ibai/ MI PODCAST: https://www.youtube.com/channel/UC6jNDNkoOKQfB5djK2IBDoA TWITTER: https://twitter.com/IbaiLlanos/ INSTAGRAM: https://www.in...,https://www.youtube.com/watch?v=yG8CuT0WH2s,https://www.youtube.com/channel/UCaY_-ksFSQtTGk0y1HA_3YQ,https://i.ytimg.com/vi/yG8CuT0WH2s/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2XykQ95fNw3deQhVEQ_siX0llPA
28/Dec/2021,2,El que gana el juego se lleva $100,SpreenDMC,1 day ago,486K views,● CANAL SECUNDARIO : ★ https://www.youtube.com/channel/UCgTOIiEgjm58xLjHvDjmgdA 👍Meta de LIKES: ★ ● ¡Sigueme por aqui! 👀 • Instagram: https://www.instagram.com/ivan_buhaje/...,https://www.youtube.com/watch?v=yZg5cziDDTA,https://www.youtube.com/c/SpreenDMC1,https://i.ytimg.com/vi/yZg5cziDDTA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGMVXMoy_ykH1Br--lpyaPhXIhqg
28/Dec/2021,3,Tienes 10.000.000 $ 😱 | Fabru Blacutt,Fabru Blacutt,1 day ago,1.5M views,,https://www.youtube.com/shorts/U-u6h_ipV2s,https://www.youtube.com/channel/UCTyMSsycWpY1bQxeyF3ywUw,https://i.ytimg.com/vi/U-u6h_ipV2s/hq2.jpg
28/Dec/2021,4,EL GRAN CAMBIO DE FREDDY EN FNAF SECURITY BREACH,Jota.,1 day ago,760K views,"Freddy es uno de los animatronicos mas carasteristicos de la saga de FNAF, pero su cambio de ser el robot mas emblematico que nos asustaba a ser el que nos protege NO ES UNA CASUALIDAD, este...",https://www.youtube.com/watch?v=pe-Rlk8zG3c,https://www.youtube.com/c/Jota17,https://i.ytimg.com/vi/pe-Rlk8zG3c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6GrHL4TIzq4Ww_ahC6a8s2adoTA
28/Dec/2021,5,Compañero rata | TeleKwai - Kwai App,Portico CE,1 day ago,370K views,Tirando esos tips peligrosos ¡Comentá! Sigue nuestro canal de Youtube para ver más historias como esta. https://bit.ly/PorticoCEYoutube Sigue nuestros perfiles de Kwai para descubrir todas...,https://www.youtube.com/shorts/ftxm5XJOdNI,https://www.youtube.com/c/PorticoCE,https://i.ytimg.com/vi/ftxm5XJOdNI/hq2.jpg
28/Dec/2021,6,GUILLE AQUINO PRESIDENTE | Trailer #1,Guille Aquino,1 day ago,160K views,Ya podés ver el ESPECIAL DE 1 HORA | Entradas en el link http://www.alternativateatral.com/obra77196-guille-aquino-presidente,https://www.youtube.com/watch?v=jJmuPAj4d0E,https://www.youtube.com/c/GuilleAquino,https://i.ytimg.com/vi/jJmuPAj4d0E/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDWue-Wy3uxOK1pSCEVaC3DShwK7A
28/Dec/2021,7,¿Los MUSULMANES pueden USAR TATUAJES? El Pana Arabe RESPONDE #shorts #viral,El Pana Arabe,1 day ago,709K views,,https://www.youtube.com/shorts/O-eTkol9rD0,https://www.youtube.com/c/ElPanaArabe,https://i.ytimg.com/vi/O-eTkol9rD0/hq2.jpg
28/Dec/2021,8,LA PEOR NAVIDAD,&loly&,1 day ago,113K views,"Espero que les guste, los amo ❤️ Comenten “feliz navidad” denle like al video y suscríbanse! MIS REDES Insta: https://www.instagram.com/lolaa_tomaszeuski/ Tik tok: https://www.tiktok.co...",https://www.youtube.com/watch?v=rEfPsCuyNJc,https://www.youtube.com/c/loly_oficial_,https://i.ytimg.com/vi/rEfPsCuyNJc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsJ0iejEyvkRwBUaVWW88dvpWYuA
28/Dec/2021,9,Cuando eramos niños! Soy Bans #shorts,Yo Soy Alfonso,1 day ago,613K views,,https://www.youtube.com/shorts/e5fywHxkr14,https://www.youtube.com/c/YoSoyAlfonso,https://i.ytimg.com/vi/e5fywHxkr14/hq2.jpg
28/Dec/2021,10,"El Juego del Calamar en la Vida Real por $456,000",MrBeast en Español,1 day ago,8.6M views,¡ASEGÚRATE DE VER HASTA EL PUENTE DE CRISTAL ES UNA LOCURA! Nuevos productos - https://shopmrbeast.com/ 🐶 https://www.youtube.com/c/MrBeastenEspañol?sub_confirmation=1 SUSCRÍBETE O ME...,https://www.youtube.com/watch?v=54Eu9Yzd7xc,https://www.youtube.com/c/MrBeastenEspa%C3%B1ol,https://i.ytimg.com/vi/54Eu9Yzd7xc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQsoSKXUtwEM2Hc9te9aaqD_VZBw
28/Dec/2021,11,¿ #sabiasque ? 🏜🍞 #datoscuriosos #aprender #curiosidades #shorts,Emmanuel Con Doble Eme,1 day ago,504K views,,https://www.youtube.com/shorts/HFv3_lfffe4,https://www.youtube.com/channel/UCdk1PtTed5bhyQNvGVwzLZg,https://i.ytimg.com/vi_webp/HFv3_lfffe4/hq2.webp
28/Dec/2021,12,El BRUTAL Proceso De Maquillaje De Jim Carrey Para EL GRINCH,Hello There,2 days ago,973K views,,https://www.youtube.com/shorts/a9hrhi0LxMI,https://www.youtube.com/c/HelloThereOficial,https://i.ytimg.com/vi/a9hrhi0LxMI/hq2.jpg
28/Dec/2021,13,Santa RM - Mucho Para Mí (Ft. Franco Escamilla) [Video Oficial],SANTA RM,4 days ago,959K views,Santa RM - Mucho Para Mí (Ft. Franco Escamilla) [Video Oficial] #SantaRM #FrancoEscamilla #AlkaProduce #MuchoParaMí Kraken Label 2021 Disponible ya en spotify: https://open.spotify.com/album/5...,https://www.youtube.com/watch?v=ymJ1svwvpLQ,https://www.youtube.com/channel/UCwiiACQ5jBDLF1kbrdzVaWA,https://i.ytimg.com/vi/ymJ1svwvpLQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZ8ioUw6XD9for9uvzC2IqsNjVKg
28/Dec/2021,14,NUESTRA CASA SE CONGELA QUEDAMOS ATRAPADOS A -20°C | LOS POLINESIOS VLOGS,LosPolinesios,2 days ago,1.7M views,Familia aquí les dejamos el link del sitio web para que compren sus boletos para JUMP https://platicapolinesia.com/jump Aquí les dejamos el link de nuestro nuevo álbum: https://bfan.link/jump-6...,https://www.youtube.com/watch?v=uvcucTS7-CE,https://www.youtube.com/c/LosPolinesios,https://i.ytimg.com/vi/uvcucTS7-CE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFa3mDqPZY0USG8YDkBFrsf-9BBw
28/Dec/2021,15,Y tu que tipo de persona eres? Cuchillo o cucharita? 🙊😝 Te leemos en comentarios! #Shorts,SKY and TAMI Shorts,4 days ago,248K views,,https://www.youtube.com/shorts/OiZGI7BB9RQ,https://www.youtube.com/c/SKYandTAMIShorts,https://i.ytimg.com/vi/OiZGI7BB9RQ/hq2.jpg
28/Dec/2021,16,Colores y mi hijo deciden mi maquillaje (video viejo) #shorts,Nayelly García,8 days ago,1.3M views,#shorts #shortvideo No olvides seguirme en mis redes sociales🧚 INSTAGRAM: https://instagram.com/yellymakeup?utm_medium=copy_link TIKTOK: https://vm.tiktok.com/ZMe3K4RyR/ INSTAGRAM...,https://www.youtube.com/shorts/RD8YddUg8iM,https://www.youtube.com/c/NayellyGarc%C3%ADa,https://i.ytimg.com/vi_webp/RD8YddUg8iM/hq2.webp
28/Dec/2021,17,"THE SIMPSONS, BAD BUNNY - TE DESEO LO MEJOR (Official Video)",Bad Bunny,3 days ago,15M views,"THE SIMPSONS, BAD BUNNY -TE DESEO LO MEJOR Trilogy Box Set - https://www.badbunnytrilogy.com/ https://elultimotourdelmundo.com/ Merch: https://shop.elultimotourdelmundo.com/ Subscribe to...",https://www.youtube.com/watch?v=m3xFuFPxOnw,https://www.youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,https://i.ytimg.com/vi/m3xFuFPxOnw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3yhD865qFEVV6YG3SbxUS-vW_Tw
28/Dec/2021,18,Niños ANTES VS AHORA abriendo los regalos de navidad #shorts 😂🎁,animaLize21,3 days ago,5.4M views,,https://www.youtube.com/shorts/IQCEZalHaq8,https://www.youtube.com/channel/UCppOwOsa03UcijjFbvo8vNg,https://i.ytimg.com/vi/IQCEZalHaq8/hq2.jpg
28/Dec/2021,19,Los dos son iguales 😡,AbrahahamFlores,3 days ago,2.9M views,,https://www.youtube.com/shorts/S55S9did3ZE,https://www.youtube.com/c/AbrahahamFlores,https://i.ytimg.com/vi/S55S9did3ZE/hq2.jpg
28/Dec/2021,20,YOUTUBERS REACCIONANDO A MI ÁRBOL DE NAVIDAD - DjMaRiiO,DjMaRiiO,2 days ago,1.2M views,►SUSCRÍBETE AQUÍ: http://goo.gl/Fd9Cwb ►Hazte MIEMBRO aquí: https://goo.gl/ey73W1 ➜TikTok: https://www.tiktok.com/@djmariio ➜INSTAGRAM: https://instagram.com/DjMaRiiO ➜TWITTER:...,https://www.youtube.com/watch?v=JyOPoq5OCgA,https://www.youtube.com/user/DjMaRiiO,https://i.ytimg.com/vi/JyOPoq5OCgA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfoYZq2Zp2Hm9q3yszWdUdHaLCiA
28/Dec/2021,21,La Mayoría No Sabe Cómo Funcionan las Bicicletas,Veritasium en español,1 day ago,431K views,"¿Por qué son estables las bicicletas? La respuesta más común se le atribuye al efecto giroscópico, pero esto No es correcto. 🚲SUSCRÍBETE para ver todos nuestros videos: https://www.youtube...",https://www.youtube.com/watch?v=E-zHtpLf4mE,https://www.youtube.com/c/Veritasiumenespa%C3%B1ol,https://i.ytimg.com/vi/E-zHtpLf4mE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvTJ5LruNy4eRL75zR9qItKsPUOA
28/Dec/2021,22,Renuncia colectiva en EE. UU.: ¿Por qué millones de personas están abandonando sus empleos?,FRANCE 24 Español,1 day ago,299K views,"Mientras millones de personas se aferran a sus puestos de trabajo en medio de una incertidumbre económica mundial, en Estados Unidos millones de trabajadores han abandonado sus empleos. Los...",https://www.youtube.com/watch?v=V6hz3ConXsw,https://www.youtube.com/c/FRANCE24Espa%C3%B1ol,https://i.ytimg.com/vi/V6hz3ConXsw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPex6L6qxoTGB2Pgds2ul2FYEbfw
28/Dec/2021,23,"Rodezel, Barca, JCBG, Jaime, Hasvik - OTRA VEZ (Official Video)",Rodezel,2 days ago,748K views,OTRA VEZ ya disponible en todas las plataformas. Escucha OTRA VEZ en Spotify: https://open.spotify.com/album/7ieVSW0ouHc1fOmSUe93XC?si=P8gCgGTJQrSjkd8axAnMEQ Jaime: https://www.instagram.com/jaim...,https://www.youtube.com/watch?v=ZXpk7tv47kc,https://www.youtube.com/channel/UC1wWox4z6uCxxd-0JKmOMHA,https://i.ytimg.com/vi/ZXpk7tv47kc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgc-tZAiTPuwgwWOO1UBRYMDpk-g
28/Dec/2021,24,Cuando ABRES los REGALOS de NAVIDAD🎁🎄#shorts,YERRIKILLERXD,4 days ago,9.7M views,,https://www.youtube.com/shorts/N5Wx4uO_ETI,https://www.youtube.com/c/YERRIKILLERXD,https://i.ytimg.com/vi/N5Wx4uO_ETI/hq2.jpg
28/Dec/2021,25,ESTO HUELE MUY MAL !! - Rocket League Sideswipe | Fernanfloo,Fernanfloo,3 days ago,2.3M views,Gracias a EPIC por patrocinar este video!!. Descarga GRATIS el juego aquí → https://pixly.go2cloud.org/SH2s8 Mis redes sociales: Instagram → https://instagram.com/fernanfloo TIK...,https://www.youtube.com/watch?v=zuJ-13jwH6M,https://www.youtube.com/user/Fernanfloo,https://i.ytimg.com/vi/zuJ-13jwH6M/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQuH2KmXbD37YI3mHgEmNSxFsIuw
28/Dec/2021,26,Kaleb Di Masi ❌ DJ Tao - Air Force (Video Oficial),KALEB DI MASI,4 days ago,951K views,👉 KALEB DI MASI: https://www.instagram.com/kalebdimasibaby/ Prod by 👉 DJ TAO: https://www.instagram.com/djtao.ok/ Letra: Kaleb Di Masi Baby DJ Tao Hoy se pone turra la wacha y se...,https://www.youtube.com/watch?v=Xj20CM2w8Ek,https://www.youtube.com/channel/UCkhYQOiA7AlkGJUQlL8pmSA,https://i.ytimg.com/vi/Xj20CM2w8Ek/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDluHmbGjOHI1g3tp1r-DNBr2d-Hw
28/Dec/2021,27,Le regalé un LAMBORGHINI en su cumpleaños 🎂😱 Kimberly Loaiza,Kimberly Loaiza,4 days ago,10M views,LINDURAS GRACIAS POR VER ESTE VIDEO ME ENCANTARIA QUE LE DIERAN LIKE Y LO COMPARTIERAN FUERA DE GRAN AYUDA ✨ Sígueme en mis redes sociales ✨ Instagram: https://www.instagram.com/kimberl...,https://www.youtube.com/watch?v=MO8Be-IAqps,https://www.youtube.com/c/KimberlyLoaiza,https://i.ytimg.com/vi/MO8Be-IAqps/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqVQXcuaYLV9SjANpFt8TohKln9A
28/Dec/2021,28,PREPARÉ UN PASTEL PARA EL SUPER TRUCHA Y DESTRUÍ LA COCINA 😰 Cecia Loaiza✨,Cecia Loaiza,2 days ago,561K views,"✨ HELLO TO EVERYBODY ✨ Plebones espero que les haya dado gusto el tenerme de nuevo por acá, me encantaría que te suscribieras a mi canal y me escribas acá abajo que videos te gustaría...",https://www.youtube.com/watch?v=JwyLpn339Vs,https://www.youtube.com/channel/UCEv3u4RVNiQtNg4Usx0qyYA,https://i.ytimg.com/vi/JwyLpn339Vs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKYqMU2Sir_1BUgJkrp0z1oz3Q3Q
28/Dec/2021,29,Kep1er 케플러 | 1st Mini Album ‘FIRST IMPACT' Connection Film,Kep1er,1 day ago,737K views,Kep1er 케플러 | 1st Mini Album ‘FIRST IMPACT' Connection Film 2022.1.3(MON) 6PM(KST) Kep1er Official Instagram : https://www.instagram.com/official.kep1er/ Twitter : https://twitter.com/off...,https://www.youtube.com/watch?v=qgINd69JKbs,https://www.youtube.com/c/Kep1er_Offcl,https://i.ytimg.com/vi/qgINd69JKbs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSrHQKA1eTcPZCyPWuyoi1RSU4tA
28/Dec/2021,30,La Resurrección de Matrix en Latinoamérica | enchufetv,enchufetv,1 day ago,735K views,"Neo aprendió a esquivar balas en Latinoamérica😎 no tengo pruebas pero tampoco dudas 🙃 #Sketchenchufetv #enchufetv Si te roban en la Matrix, te roban en Latinoamérica. ¡No, esperen!...",https://www.youtube.com/watch?v=ELgv5uf_0XQ,https://www.youtube.com/c/enchufetv,https://i.ytimg.com/vi/ELgv5uf_0XQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjh8b5YU01ZeQy9ERju2JFfLFE2w
28/Dec/2021,31,XI'AN: ¿EL PEOR CONFINAMIENTO DE CHINA DESDE WUHAN? | Jabiertzo,Jabiertzo,1 day ago,220K views,"En este vídeo hablamos de cómo está la situación en Xi’an, una ciudad de 13 millones de habitantes a la que se ha aplicado un confinamiento casi total. Veremos qué restricciones tienen...",https://www.youtube.com/watch?v=0iG5-mm-px8,https://www.youtube.com/c/Jabiertzo,https://i.ytimg.com/vi/0iG5-mm-px8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBYqy7SxNCBHjaxV2cu66kptw-Tpg
